"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launched_date","end_date","category_id","subcategory_id","contact_id-2","first_name","last_name","email"
147,"4661","Baldwin, Riley and Jackson","Pre-emptive tertiary standardization","100","100","failed",0,"CA","CAD","2020-02-13","2021-03-01","cat1","subcat1","4661","Cecilia","Velasco","cecilia.velasco@rodrigues.fr"
1621,"3765","Odom Inc","Managed bottom-line architecture","1400","1400","successful",158,"US","USD","2021-01-25","2021-05-25","cat2","subcat2","3765","Mariana","Ellis","mariana.ellis@rossi.org"
1812,"4187","Melton, Robinson and Fritz","Function-based leadingedge pricing structure","108400","108400","successful",1425,"AU","AUD","2020-12-17","2021-12-30","cat3","subcat3","4187","Sofie","Woods","sofie.woods@riviere.com"
2156,"4941","Mcdonald, Gonzalez and Ross","Vision-oriented fresh-thinking conglomeration","4200","4200","failed",24,"US","USD","2021-10-21","2022-01-17","cat2","subcat2","4941","Jeanette","Iannotti","jeanette.iannotti@yahoo.com"
1365,"2199","Larson-Little","Proactive foreground core","7600","7600","failed",53,"US","USD","2020-12-21","2021-08-23","cat4","subcat4","2199","Samuel","Sorgatz","samuel.sorgatz@gmail.com"
2057,"5650","Harris Group","Open-source optimizing database","7600","7600","successful",174,"DK","DKK","2020-12-11","2021-08-29","cat4","subcat4","5650","Socorro","Luna","socorro.luna@hotmail.com"
1894,"5889","Ortiz, Coleman and Mitchell","Operative upward-trending algorithm","5200","5200","failed",18,"GB","GBP","2020-07-31","2021-05-11","cat5","subcat5","5889","Carolina","Murray","carolina.murray@knight.com"
2669,"4842","Carter-Guzman","Centralized cohesive challenge","4500","4500","successful",227,"DK","DKK","2020-12-22","2021-09-21","cat4","subcat4","4842","Kayla","Moon","kayla.moon@yahoo.de"
1114,"3280","Nunez-Richards","Exclusive attitude-oriented intranet","110100","110100","live",708,"DK","DKK","2020-04-08","2021-03-10","cat4","subcat4","3280","Ariadna","Geisel","ariadna.geisel@rangel.com"
970,"5468","Rangel, Holt and Jones","Open-source fresh-thinking model","6200","6200","failed",44,"US","USD","2021-08-13","2021-08-31","cat2","subcat6","5468","Danielle","Ladeck","danielle.ladeck@scalfaro.net"
2340,"3064","Green Ltd","Monitored empowering installation","5200","5200","successful",220,"US","USD","2020-07-11","2021-08-02","cat5","subcat7","3064","Tatiana","Thompson","tatiana.thompson@hunt.net"
601,"4904","Perez, Johnson and Gardner","Grass-roots zero administration system engine","6300","6300","failed",27,"US","USD","2020-08-11","2021-06-26","cat4","subcat4","4904","Caleb","Benavides","caleb.benavides@rubio.com"
1950,"1299","Kim Ltd","Assimilated hybrid intranet","6300","6300","failed",55,"US","USD","2020-11-14","2021-04-09","cat5","subcat7","1299","Sandra","Hardy","sandra.hardy@web.de"
671,"5602","Walker, Taylor and Coleman","Multi-tiered directional open architecture","4200","4200","successful",98,"US","USD","2020-11-11","2021-11-06","cat2","subcat8","5602","Lotti","Morris","lotti.morris@yahoo.co.uk"
1683,"5753","Rodriguez, Rose and Stewart","Cloned directional synergy","28200","28200","failed",200,"US","USD","2021-11-14","2022-01-02","cat2","subcat8","5753","Reinhilde","White","reinhilde.white@voila.fr"
505,"4495","Wright, Hunt and Rowe","Extended eco-centric pricing structure","81200","81200","failed",452,"US","USD","2021-10-25","2021-12-16","cat3","subcat9","4495","Kerry","Patel","kerry.patel@hutchinson.com"
1245,"4269","Hines Inc","Cross-platform systemic adapter","1700","1700","successful",100,"US","USD","2021-08-20","2021-12-22","cat6","subcat10","4269","Sophie","Antoine","sophie.antoine@andersen.com"
2550,"2226","Cochran-Nguyen","Seamless 4thgeneration methodology","84600","84600","successful",1249,"US","USD","2020-04-12","2021-03-24","cat5","subcat11","2226","Martha","Girard","martha.girard@web.de"
875,"1558","Johnson-Gould","Exclusive needs-based adapter","9100","9100","canceled",135,"US","USD","2021-03-24","2022-01-27","cat4","subcat4","1558","Stephanie","King","stephanie.king@cervantes.com"
2283,"2307","Perez-Hess","Down-sized cohesive archive","62500","62500","failed",674,"US","USD","2021-10-12","2021-11-17","cat4","subcat4","2307","Amanda","Palmer","amanda.palmer@didier.fr"
118,"2900","Reeves, Thompson and Richardson","Proactive composite alliance","131800","131800","successful",1396,"US","USD","2020-04-12","2021-04-09","cat5","subcat7","2900","Lina","Alcala","lina.alcala@vespa.net"
711,"5695","Simmons-Reynolds","Re-engineered intangible definition","94000","94000","failed",558,"US","USD","2021-03-14","2021-04-29","cat4","subcat4","5695","Itzel","Murphy","itzel.murphy@muelichen.de"
1747,"5708","Collier Inc","Enhanced dynamic definition","59100","59100","successful",890,"US","USD","2020-07-06","2021-08-04","cat4","subcat4","5708","Filippo","Parry","filippo.parry@live.com"
1825,"1663","Gray-Jenkins","Devolved next generation adapter","4500","4500","successful",142,"GB","GBP","2021-07-23","2021-09-12","cat5","subcat5","1663","Katelyn","Cole","katelyn.cole@fiebig.com"
1019,"3605","Scott, Wilson and Martin","Cross-platform intermediate frame","92400","92400","successful",2673,"US","USD","2021-05-01","2021-10-01","cat3","subcat9","3605","Brian","Novak","brian.novak@ford.net"
821,"4678","Caldwell, Velazquez and Wilson","Monitored impactful analyzer","5500","5500","successful",163,"US","USD","2020-10-09","2021-05-23","cat7","subcat12","4678","Cilly","Gay","cilly.gay@callegaro.it"
2653,"2251","Spencer-Bates","Optional responsive customer loyalty","107500","107500","canceled",1480,"US","USD","2020-11-20","2021-07-27","cat4","subcat4","2251","Yolanda","Snyder","yolanda.snyder@gmx.de"
